#County,Confirmed Cases,Probable Cases,Deaths
Anderson,4595,1137,85
Andrews,1630,0,37
Angelina,4169,2688,208
Aransas,697,245,29
Archer,650,90,10
Armstrong,97,38,6
Atascosa,3267,930,96
Austin,1322,190,22
Bailey,561,200,16
Bandera,710,194,21
Bastrop,3536,1221,59
Baylor,111,172,11
Bee,2798,397,55
Bell,17752,0,238
Bexar,135648,26460,2181
Blanco,279,55,12
Borden,12,6,0
Bosque,836,189,22
Bowie,3653,1478,150
Brazoria,24269,3346,292
Brazos,14931,2985,168
Brewster,913,63,8
Briscoe,67,54,3
Brooks,604,102,31
Brown,1750,1921,85
Burleson,941,192,22
Burnet,2090,193,40
Caldwell,2644,185,61
Calhoun,1362,142,13
Callahan,538,488,30
Cameron,34259,0,1160
Camp,717,306,33
Carson,203,136,12
Cass,1039,527,64
Castro,607,241,25
Chambers,3654,0,13
Cherokee,2144,1545,101
Childress,1284,17,13
Clay,873,65,13
Cochran,205,16,12
Coke,205,224,10
Coleman,454,171,21
Collin,59705,9699,539
Collingsworth,175,69,8
Colorado,1135,180,20
Comal,4267,3494,213
Comanche,932,205,39
Concho,131,125,5
Cooke,2730,352,52
Coryell,4294,130,49
Cottle,134,45,7
Crane,196,295,11
Crockett,215,279,14
Crosby,272,140,23
Culberson,303,16,5
Dallam,434,36,20
Dallas,219515,29003,2673
Dawson,1644,0,63
DeWitt,1682,0,51
Deaf Smith,1863,603,61
Delta,129,104,6
Denton,40347,10092,476
Dickens,92,46,7
Dimmit,1022,95,18
Donley,145,159,10
Duval,1008,92,33
Eastland,759,281,28
Ector,6929,6418,286
Edwards,191,31,3
El Paso,111061,0,2068
Ellis,15893,2153,223
Erath,2454,1163,46
Falls,1301,66,23
Fannin,2277,454,76
Fayette,854,679,46
Fisher,276,0,12
Floyd,286,386,28
Foard,65,31,5
Fort Bend,41994,5433,464
Franklin,417,174,17
Freestone,686,324,30
Frio,1862,437,28
Gaines,1354,0,36
Galveston,25697,3622,270
Garza,193,93,18
Gillespie,1514,538,40
Glasscock,41,62,1
